Please note that renewal prices are estimates based on current renewal rates.
DOMAIN,TLD,CREATE DATE,EXPIRE DATE,LOCKED,PRIVACY,AUTO RENEW,NAMESERVERS,AUTH CODE,AUTH CODE CHANGED,EST. RENEWAL PRICE,STATUSES,URL FORWARDS
twohorses.lol,lol,"2022-07-26 04:36:15","2026-07-26 23:59:59",yes,yes,yes,dns1.p01.nsone.net|dns2.p01.nsone.net|dns3.p01.nsone.net|dns4.p01.nsone.net,N/A,NO,26.26,"clientTransferProhibited,clientDeleteProhibited"
femboitradwife.com,com,"2025-07-27 15:10:42","2026-07-27 15:10:42",yes,yes,no,maceio.ns.porkbun.com|salvador.ns.porkbun.com|fortaleza.ns.porkbun.com|curitiba.ns.porkbun.com,N/A,NO,11.08,"clientDeleteProhibited,clientTransferProhibited"
femboytradwife.com,com,"2025-07-27 15:10:43","2026-07-27 15:10:43",yes,yes,no,maceio.ns.porkbun.com|salvador.ns.porkbun.com|fortaleza.ns.porkbun.com|curitiba.ns.porkbun.com,N/A,NO,11.08,"clientDeleteProhibited,clientTransferProhibited"
orobia.dev,dev,"2022-07-29 06:14:30","2026-07-29 06:14:30",yes,yes,yes,curitiba.ns.porkbun.com|fortaleza.ns.porkbun.com|maceio.ns.porkbun.com|salvador.ns.porkbun.com,MARKETPLACE,NO,12.87,"clientTransferProhibited,clientDeleteProhibited"
orobia.lol,lol,"2022-07-29 06:14:23","2026-07-29 23:59:59",yes,yes,yes,curitiba.ns.porkbun.com|fortaleza.ns.porkbun.com|maceio.ns.porkbun.com|salvador.ns.porkbun.com,MARKETPLACE,NO,26.26,"clientTransferProhibited,clientDeleteProhibited"
tania-project.com,com,"2020-08-13 15:13:23","2026-08-13 15:13:23",yes,yes,yes,dns1.p01.nsone.net|dns2.p01.nsone.net|dns3.p01.nsone.net|dns4.p01.nsone.net,N/A,NO,11.08,"clientDeleteProhibited,clientTransferProhibited"
tepiton.com,com,"2021-08-24 21:44:49","2026-08-24 21:44:49",yes,yes,yes,maceio.ns.porkbun.com|salvador.ns.porkbun.com|fortaleza.ns.porkbun.com|curitiba.ns.porkbun.com,N/A,NO,11.08,"clientDeleteProhibited,clientTransferProhibited"
xhosi.com,com,"2019-08-31 03:06:16","2026-08-31 03:06:16",yes,yes,yes,dns1.p03.nsone.net|dns2.p03.nsone.net|dns3.p03.nsone.net|dns4.p03.nsone.net,N/A,NO,11.08,"clientDeleteProhibited,clientTransferProhibited"
pborenstein.wtf,wtf,"2020-09-01 14:51:20","2026-09-01 14:51:20",yes,yes,no,dns1.p01.nsone.net|dns2.p01.nsone.net|dns3.p01.nsone.net|dns4.p01.nsone.net,N/A,NO,29.35,"clientDeleteProhibited,clientTransferProhibited"
pborenstein.xyz,xyz,"2020-09-01 14:51:13","2026-09-01 23:59:59",yes,yes,no,curitiba.ns.porkbun.com|fortaleza.ns.porkbun.com|maceio.ns.porkbun.com|salvador.ns.porkbun.com,N/A,NO,12.98,"clientTransferProhibited,clientDeleteProhibited"
acmespaceelevator.com,com,"2014-09-03 17:12:36","2026-09-03 17:12:36",yes,yes,yes,maceio.ns.porkbun.com|salvador.ns.porkbun.com|fortaleza.ns.porkbun.com|curitiba.ns.porkbun.com,N/A,NO,11.08,"clientDeleteProhibited,clientTransferProhibited"
tzintli.com,com,"2021-09-06 23:23:56","2026-09-06 23:23:56",yes,yes,yes,dns1.p01.nsone.net|dns2.p01.nsone.net|dns3.p01.nsone.net|dns4.p01.nsone.net,N/A,NO,11.08,"clientDeleteProhibited,clientTransferProhibited"
tlilli.com,com,"2021-09-06 23:23:57","2026-09-06 23:23:57",yes,yes,yes,dns1.p02.nsone.net|dns2.p02.nsone.net|dns3.p02.nsone.net|dns4.p02.nsone.net,N/A,NO,11.08,"clientDeleteProhibited,clientTransferProhibited"
amoxtli.dev,dev,"2021-09-18 20:54:13","2026-09-18 20:54:13",yes,yes,yes,curitiba.ns.porkbun.com|fortaleza.ns.porkbun.com|maceio.ns.porkbun.com|salvador.ns.porkbun.com,N/A,NO,12.87,"clientTransferProhibited,clientDeleteProhibited"
idiosynthetic.com,com,"2025-09-23 15:37:51","2026-09-23 15:37:51",yes,yes,yes,maceio.ns.porkbun.com|salvador.ns.porkbun.com|fortaleza.ns.porkbun.com|curitiba.ns.porkbun.com,N/A,NO,11.08,"clientDeleteProhibited,clientTransferProhibited"
idiosynthetic.net,net,"2025-09-23 15:37:52","2026-09-23 15:37:52",yes,yes,yes,maceio.ns.porkbun.com|salvador.ns.porkbun.com|fortaleza.ns.porkbun.com|curitiba.ns.porkbun.com,N/A,NO,12.52,"clientDeleteProhibited,clientTransferProhibited"
idiosynthetic.org,org,"2025-09-23 15:37:53","2026-09-23 15:37:53",yes,yes,yes,curitiba.ns.porkbun.com|fortaleza.ns.porkbun.com|maceio.ns.porkbun.com|salvador.ns.porkbun.com,N/A,NO,10.74,"clientDeleteProhibited,clientTransferProhibited"
idiosynthetic.dev,dev,"2025-09-23 15:37:53","2026-09-23 15:37:53",yes,yes,yes,curitiba.ns.porkbun.com|fortaleza.ns.porkbun.com|maceio.ns.porkbun.com|salvador.ns.porkbun.com,N/A,NO,12.87,"clientTransferProhibited,clientDeleteProhibited"
gnmb.org,org,"2003-10-02 05:18:40","2026-10-02 05:18:40",yes,yes,yes,curitiba.ns.porkbun.com|fortaleza.ns.porkbun.com|maceio.ns.porkbun.com|salvador.ns.porkbun.com,N/A,NO,10.74,"clientDeleteProhibited,clientTransferProhibited"
pborenstein.ooo,ooo,"2023-10-05 05:50:33","2026-10-05 23:59:59",yes,yes,no,curitiba.ns.porkbun.com|fortaleza.ns.porkbun.com|maceio.ns.porkbun.com|salvador.ns.porkbun.com,N/A,NO,21.10,"clientTransferProhibited,clientDeleteProhibited"
apantli.app,app,"2025-10-13 16:07:31","2026-10-13 16:07:31",yes,yes,yes,curitiba.ns.porkbun.com|fortaleza.ns.porkbun.com|maceio.ns.porkbun.com|salvador.ns.porkbun.com,N/A,NO,14.93,"clientDeleteProhibited,clientTransferProhibited"
apantli.dev,dev,"2025-10-13 16:07:31","2026-10-13 16:07:31",yes,yes,yes,curitiba.ns.porkbun.com|fortaleza.ns.porkbun.com|maceio.ns.porkbun.com|salvador.ns.porkbun.com,N/A,NO,12.87,"clientTransferProhibited,clientDeleteProhibited"
apantli.org,org,"2025-10-13 16:07:32","2026-10-13 16:07:32",yes,yes,yes,curitiba.ns.porkbun.com|fortaleza.ns.porkbun.com|maceio.ns.porkbun.com|salvador.ns.porkbun.com,N/A,NO,10.74,"clientDeleteProhibited,clientTransferProhibited"
xocoyotl.dev,dev,"2021-10-15 00:29:57","2026-10-15 00:29:57",yes,yes,yes,dns1.p07.nsone.net|dns2.p07.nsone.net|dns3.p07.nsone.net|dns4.p07.nsone.net,N/A,NO,12.87,"clientTransferProhibited,clientDeleteProhibited"
mellowtimesphere.com,com,"2025-11-24 03:27:21","2026-11-24 03:27:21",yes,yes,yes,maceio.ns.porkbun.com|salvador.ns.porkbun.com|fortaleza.ns.porkbun.com|curitiba.ns.porkbun.com,N/A,NO,11.08,"clientDeleteProhibited,clientTransferProhibited"
mellowtimesphere.org,org,"2025-11-24 03:29:25","2026-11-24 03:29:25",yes,yes,yes,curitiba.ns.porkbun.com|fortaleza.ns.porkbun.com|maceio.ns.porkbun.com|salvador.ns.porkbun.com,N/A,NO,10.74,"clientDeleteProhibited,clientTransferProhibited"
orobia.net,net,"2011-11-24 03:45:08","2026-11-24 03:45:08",yes,yes,yes,maceio.ns.porkbun.com|salvador.ns.porkbun.com|fortaleza.ns.porkbun.com|curitiba.ns.porkbun.com,N/A,NO,12.52,"clientDeleteProhibited,clientTransferProhibited"
ayeye.rodeo,rodeo,"2025-11-27 21:11:07","2026-11-27 21:11:07",yes,yes,no,fortaleza.ns.porkbun.com|maceio.ns.porkbun.com|curitiba.ns.porkbun.com|salvador.ns.porkbun.com,N/A,NO,8.75,"clientDeleteProhibited,clientTransferProhibited"
ayeye.dev,dev,"2025-11-27 21:11:07","2026-11-27 21:11:07",yes,yes,no,curitiba.ns.porkbun.com|fortaleza.ns.porkbun.com|maceio.ns.porkbun.com|salvador.ns.porkbun.com,N/A,NO,12.87,"clientDeleteProhibited,clientTransferProhibited"
tequitl.dev,dev,"2025-12-06 22:23:09","2026-12-06 22:23:09",yes,yes,yes,curitiba.ns.porkbun.com|fortaleza.ns.porkbun.com|maceio.ns.porkbun.com|salvador.ns.porkbun.com,N/A,NO,12.87,"clientTransferProhibited,clientDeleteProhibited"
